Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Is shortest path; Required core; Required index
14564; 1009; 24; 19; 784; 31; False; [17, 18, 22, 25, 28, 38, 73]; 3540; True; None; None
14926; 1032; 1; 13; 461; 8; False; [4, 10, 30, 37, 50]; 2257; True; None; None
15045; 1039; 6; 27; 852; 1; False; [23, 26, 29, 42, 77]; 2506; True; None; None
15000; 1036; 13; 14; 195; 4; True; [47]; 400; True; 0; 38
14933; 1033; 19; 7; 982; 7; False; [0, 6, 61]; 1804; True; None; None
14897; 1030; 10; 7; 332; 10; True; [28, 34]; 727; True; 0; 82
15040; 1039; 25; 17; 145; 1; True; [7, 8, 12, 24, 38, 58, 76]; 3706; True; 0; 50
14755; 1022; 2; 14; 214; 18; True; [10, 30, 37]; 1464; True; 0; 17
15007; 1037; 12; 10; 586; 3; True; [43]; 720; True; 0; 0
15020; 1037; 14; 4; 604; 3; False; [9, 27, 34, 49]; 1723; True; None; None
15044; 1039; 18; 14; 184; 1; False; [16, 20, 32, 37, 50, 59]; 3086; True; None; None
14974; 1035; 12; 4; 450; 5; False; [9, 19, 23, 27, 31, 43]; 2269; True; None; None
15011; 1037; 25; 26; 246; 3; True; [77, 81]; 1345; True; 0; 56
15047; 1039; 10; 12; 567; 1; False; [33, 35]; 1242; True; None; None
15018; 1037; 3; 21; 138; 3; False; [13, 26, 40, 54, 68, 71]; 3704; True; None; None
14875; 1029; 6; 26; 810; 11; False; [23, 26, 29, 42, 77, 81]; 3129; True; None; None
15025; 1038; 9; 26; 276; 2; False; [32, 36, 42, 77, 81]; 3164; True; None; None
14816; 1026; 15; 23; 241; 14; True; [54]; 668; True; 0; 0
14948; 1033; 19; 21; 564; 7; False; [0, 6, 20, 22, 33, 45, 61]; 4569; True; None; None
15002; 1037; 9; 24; 441; 3; False; [32, 36, 41]; 2054; True; None; None
14992; 1036; 22; 18; 974; 4; False; [7, 8, 27, 34, 47, 49, 67]; 3555; True; None; None
15024; 1038; 20; 22; 667; 2; False; [13, 26, 40, 54, 63, 71]; 3562; True; None; None
15030; 1038; 16; 24; 366; 2; False; [4, 9, 13, 26, 41, 55, 57]; 3941; True; None; None
15048; 1039; 17; 5; 792; 2; False; [5, 57]; 1341; True; None; None
14781; 1024; 19; 27; 193; 17; False; [1, 13, 26, 42, 61, 77]; 3425; True; None; None
15004; 1037; 17; 7; 107; 4; True; [6, 57]; 1347; True; 0; 0
15039; 1039; 7; 5; 707; 2; True; [18, 22, 25, 28]; 1588; True; 0; 21
14929; 1032; 13; 6; 569; 9; False; [31, 35, 47, 49]; 1783; True; None; None
15062; 1040; 1; 3; 917; 1; True; [4, 9]; 652; True; 0; 113
14939; 1033; 3; 4; 905; 8; False; [5, 8, 12]; 1246; True; None; None
14889; 1030; 15; 25; 981; 11; True; [42, 52]; 960; True; 0; 99
14947; 1033; 6; 2; 245; 8; True; [21]; 600; True; 0; 72
15050; 1039; 16; 19; 212; 2; True; [2, 3, 55, 57]; 2785; True; 0; 73
14980; 1035; 19; 8; 133; 6; True; [1, 13, 61]; 1782; True; 0; 98
15054; 1040; 19; 2; 185; 1; True; [0, 61]; 1204; True; 0; 72
14983; 1035; 22; 5; 208; 6; False; [18, 31, 35, 47, 49, 67]; 2841; True; None; None
15055; 1040; 14; 13; 207; 1; True; [46, 50]; 1183; True; 0; 25
14985; 1036; 11; 26; 434; 5; True; [42, 77, 81]; 1885; True; 0; 7
14915; 1032; 2; 27; 996; 9; False; [9, 13, 26, 42, 77]; 2454; True; None; None
14845; 1027; 20; 19; 185; 14; False; [0, 5, 17, 61, 64]; 3056; True; None; None
15063; 1040; 4; 21; 647; 1; False; [16, 20, 33, 45]; 3054; True; None; None
14885; 1030; 6; 9; 61; 11; True; [20, 22]; 545; True; 0; 25
15064; 1040; 11; 14; 962; 1; False; [40, 53]; 796; True; None; None
15066; 1040; 23; 13; 199; 1; True; [46, 67, 71]; 1808; True; 0; 54
15068; 1040; 18; 3; 115; 2; True; [4, 15, 59]; 1783; True; 0; 61
15069; 1041; 23; 9; 59; 1; True; [34, 49, 53, 70]; 2034; True; 0; 81
15081; 1041; 8; 26; 106; 1; True; [26, 29, 42, 77, 81]; 2858; True; 0; 153
15073; 1041; 17; 16; 817; 1; False; [4, 9, 13, 26, 40, 57]; 2752; True; None; None
15074; 1041; 18; 20; 678; 1; False; [2, 3, 15, 59, 62]; 3056; True; None; None
14904; 1031; 6; 16; 411; 11; False; [7, 21, 58]; 2181; True; None; None
15079; 1041; 20; 27; 544; 1; False; [13, 26, 42, 63, 77]; 3262; True; None; None
15009; 1037; 4; 25; 330; 5; False; [16, 19, 23, 26, 29, 42]; 2509; True; None; None
15083; 1041; 16; 20; 583; 1; False; [2, 3, 55, 57, 62]; 3247; True; None; None
15012; 1037; 21; 17; 139; 5; False; [17, 18, 31, 43, 60, 65]; 4610; True; None; None
15085; 1041; 9; 10; 839; 1; True; [32]; 522; True; 0; 17
15031; 1038; 3; 23; 125; 4; True; [13, 26, 40, 54]; 2021; True; 0; 229
15036; 1039; 25; 22; 584; 3; False; [40, 54, 68, 71, 76]; 3311; True; None; None
15022; 1037; 19; 24; 986; 5; False; [1, 13, 26, 41, 61]; 2938; True; None; None
15058; 1040; 24; 25; 271; 2; True; [42, 73]; 1315; True; 0; 121
14892; 1030; 2; 1; 435; 12; True; [9, 11]; 799; True; 0; 197
15032; 1038; 23; 21; 1000; 4; False; [14, 24, 38, 52, 70]; 3088; True; None; None
15027; 1038; 15; 11; 326; 4; True; [49, 53]; 910; True; 0; 71
14817; 1026; 25; 17; 692; 16; False; [7, 8, 12, 24, 38, 58, 76]; 3706; True; None; None
15053; 1040; 6; 1; 150; 3; True; [3, 21]; 1114; True; 0; 80
14855; 1028; 16; 6; 701; 15; False; [16, 56, 59]; 2063; True; None; None
15070; 1041; 21; 10; 373; 2; True; [43, 65]; 2220; True; 0; 17
15076; 1041; 25; 5; 380; 2; True; [18, 22, 25, 28, 38, 76]; 2509; True; 0; 21
14968; 1035; 14; 19; 903; 8; False; [2, 9, 11, 27, 34, 49]; 2953; True; None; None
15095; 1042; 2; 1; 257; 1; True; [9, 11]; 799; True; 0; 20
15010; 1037; 8; 21; 428; 6; False; [20, 22, 28, 33, 45]; 3036; True; None; None
14901; 1030; 18; 20; 740; 13; False; [2, 3, 15, 59, 62]; 3056; True; None; None
14961; 1034; 11; 26; 198; 9; True; [42, 77, 81]; 1885; True; 0; 0
15046; 1039; 11; 22; 657; 4; False; [40, 54, 71]; 1562; True; None; None
15067; 1040; 6; 25; 121; 3; True; [23, 26, 29, 42]; 1784; True; 0; 143
15089; 1042; 11; 21; 938; 1; False; [40, 54, 68, 71]; 2771; True; None; None
15065; 1040; 1; 2; 106; 3; True; [4]; 393; True; 0; 13
15092; 1042; 20; 2; 605; 1; False; [0, 61, 64]; 1666; True; None; None
15093; 1042; 11; 8; 709; 1; True; [38]; 381; True; 0; 0
15021; 1037; 24; 20; 860; 6; False; [2, 11, 24, 38, 73]; 2938; True; None; None
14987; 1036; 0; 21; 315; 7; False; [0, 6, 20, 22, 33, 45]; 3879; True; None; None
15035; 1038; 5; 23; 53; 5; True; [20, 32, 37, 51, 54]; 2427; True; 0; 81
15099; 1042; 23; 8; 221; 1; True; [38, 52, 70]; 1469; True; 0; 89
15103; 1042; 1; 14; 450; 1; False; [4, 10, 30, 37]; 1857; True; None; None
14840; 1027; 5; 18; 261; 17; True; [17, 18]; 1303; True; 0; 131
15072; 1041; 20; 24; 904; 3; False; [13, 26, 41, 63]; 2775; True; None; None
15038; 1039; 23; 12; 791; 5; True; [52, 70]; 1088; True; 0; 41
15003; 1037; 17; 23; 382; 7; False; [4, 9, 13, 26, 40, 54, 57]; 3420; True; None; None
15056; 1040; 6; 1; 870; 4; False; [3, 21]; 1114; True; None; None
14931; 1032; 19; 13; 171; 12; False; [0, 6, 20, 22, 33, 61]; 3069; True; None; None
15077; 1041; 19; 1; 414; 3; True; [61]; 690; True; 0; 38
15080; 1041; 19; 26; 75; 3; False; [1, 13, 26, 42, 61, 77, 81]; 4048; True; None; None
15084; 1041; 8; 15; 825; 3; False; [30, 37, 51]; 1366; True; None; None
14976; 1035; 23; 11; 58; 9; True; [49, 53, 70]; 1578; True; 0; 111
15051; 1040; 12; 11; 552; 4; False; [32, 43]; 1242; True; None; None
15091; 1042; 7; 14; 551; 2; True; [26, 40, 53]; 1177; True; 0; 229
15106; 1043; 16; 9; 132; 1; False; [4, 10, 55, 57]; 2448; True; None; None
15061; 1040; 10; 8; 157; 4; True; [29, 34]; 1048; True; 0; 7
15034; 1038; 16; 15; 793; 6; False; [4, 10, 30, 37, 55, 57]; 3438; True; None; None
14815; 1026; 17; 20; 542; 18; False; [2, 3, 57, 62]; 2413; True; None; None
14923; 1032; 1; 13; 971; 12; False; [4, 10, 30, 37, 50]; 2257; True; None; None
14969; 1035; 8; 4; 108; 10; True; [9, 27]; 733; True; 0; 149
15037; 1039; 1; 17; 166; 6; True; [7]; 747; True; 0; 46
15111; 1043; 10; 12; 333; 2; False; [33, 35]; 1242; True; None; None
15121; 1044; 3; 11; 208; 1; True; [13, 26]; 933; True; 0; 0
15104; 1042; 26; 5; 425; 3; False; [18, 22, 25, 28, 38, 76, 79, 80]; 3854; True; None; None
15122; 1044; 10; 13; 975; 1; False; [37, 50]; 934; True; None; None
14872; 1029; 16; 20; 784; 16; False; [2, 3, 55, 57, 62]; 3247; True; None; None
15059; 1040; 0; 21; 86; 5; False; [0, 6, 20, 22, 33, 45]; 3879; True; None; None
15102; 1042; 5; 26; 507; 3; False; [19, 23, 26, 29, 42, 77, 81]; 3347; True; None; None
14880; 1029; 9; 4; 141; 16; False; [9, 19, 23, 27, 31]; 1549; True; None; None
14991; 1036; 22; 19; 384; 9; False; [17, 18, 31, 35, 47, 49, 67]; 3637; True; None; None
15075; 1041; 18; 3; 748; 4; False; [4, 15, 59]; 1783; True; None; None
15100; 1042; 24; 14; 224; 3; False; [67, 71, 74]; 1844; True; None; None
15141; 1045; 1; 16; 770; 1; False; [7, 58]; 1581; True; None; None
15082; 1041; 2; 6; 275; 5; True; [10, 28]; 745; True; 0; 0
14944; 1033; 27; 7; 707; 13; False; [25, 28, 38, 76, 80]; 2506; True; None; None
15118; 1044; 16; 15; 842; 2; False; [4, 10, 30, 37, 55, 57]; 3438; True; None; None
14995; 1036; 26; 0; 316; 10; False; None; None; None; None; None
14982; 1035; 27; 1; 808; 11; False; [11, 24, 38, 76, 80]; 2735; True; None; None
15078; 1041; 3; 6; 558; 5; False; [10, 12, 28]; 1004; True; None; None
15130; 1045; 6; 21; 417; 1; False; [20, 22, 33, 45]; 2765; True; None; None
15098; 1042; 22; 14; 349; 4; True; [67]; 551; True; 0; 0
14964; 1034; 11; 14; 54; 12; True; [40, 53]; 796; True; 0; 10
15107; 1043; 19; 11; 779; 4; False; [1, 10, 12, 30, 61]; 2419; True; None; None
15060; 1040; 21; 6; 102; 7; True; [31, 43, 65]; 2547; True; 0; 13
14835; 1027; 8; 18; 180; 20; True; [17, 18, 22, 28]; 1792; True; 0; 124
14952; 1034; 26; 13; 756; 13; False; [46, 67, 71, 74, 78]; 3840; True; None; None
15015; 1037; 18; 25; 251; 10; False; [16, 19, 23, 26, 29, 42, 59]; 3305; True; None; None
15112; 1043; 18; 3; 849; 4; False; [4, 15, 59]; 1783; True; None; None
15115; 1044; 14; 20; 325; 3; False; [9, 14, 27, 34, 49]; 2790; True; None; None
15125; 1044; 12; 4; 760; 3; False; [9, 19, 23, 27, 31, 43]; 2269; True; None; None
14957; 1034; 23; 20; 885; 13; False; [2, 11, 24, 38, 52, 70]; 3251; True; None; None
15157; 1046; 11; 1; 382; 1; False; [11, 24, 38]; 1473; True; None; None
